sensitivity_y,domain,unix_time,level,sensitivity_x,timestamp,distance,version,platform,userId,playthrough,_doc_id,music,ab_group
100,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,1772650225.0,3,100,1772650225102,3.09119034,1.1,WebGLPlayer,e0387235-a3d5-4ddd-8fa6-bda81981cc26,1,00rCTBUmsHbQXD9Bcl0H,,
100,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,1772650213.0,3,100,1772650213625,10.1523046,1.1,WebGLPlayer,e0387235-a3d5-4ddd-8fa6-bda81981cc26,1,05uLPKqDrUh50KfLtIlm,,
100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,,3,100,2026-02-26 06:53:46.020000+00:00,,1.0,WebGLPlayer,05c9809b-f15b-4a30-af0c-d20d66f6c816,1,08nplvjAGWjeFcukLhOM,,
47,https://bmanske505.github.io/Escape-The-Forest/,,3,54,2026-02-26 02:11:18.387000+00:00,,1.0,WebGLPlayer,12ea51bf-5b57-4891-a08f-a0a9cb036581,1,0AnNpiV2OZNQoHwMSDYN,,
46,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,1773274971.0,4,49,,,1.2,WebGLPlayer,ed1da240-bdee-4af5-b0aa-d97140d7d27d,2,0FbRUx9HvfDNgIpztz3s,0.0,0.0
100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,,4,100,2026-02-26 04:06:29.901000+00:00,,1.0,WebGLPlayer,2b5f5563-355f-4ed4-be41-a21cfbb88aea,1,0KSIRgZ1L61OcoxgMgwe,,
100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,,3,100,2026-02-25 05:37:40.246000+00:00,,1.0,WebGLPlayer,10399faa-8e46-46d7-95ef-6e50cb706ee6,1,0O8qqOodma6aZZWemnhZ,,
100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,,6,100,2026-02-25 05:47:11.695000+00:00,,1.0,WebGLPlayer,fb093188-7616-4e0f-8509-4279e51245ec,1,0S4jjnV8KY4V1k7hqwFn,,
100,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,,4,100,2026-02-26 04:02:48.878000+00:00,,1.0,WebGLPlayer,2b5f5563-355f-4ed4-be41-a21cfbb88aea,1,0UxmMPdXWgEJCKi2eRSH,,
100,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,,3,100,2026-02-25 04:16:21.492000+00:00,,1.0,WebGLPlayer,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,2,0XMiESIwg8X54c0CaSsb,,
