platform,time_spent,domain,level,version,sensitivity_y,sensitivity_x,playthrough,timestamp,userId,flashlight_pct_on,_doc_id,unix_time,music,ab_group
WebGLPlayer,283.925049,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,1.0,100,100,1,2026-02-25 01:55:30.731000+00:00,48d112f6-a109-4804-95d5-fd9956b1ade6,0.0603959858,0LrpCtyISAU20LBips7p,,,
WebGLPlayer,130.74588,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0,1.1,100,100,1,1772675175512,dd45b31c-7ee3-4f57-aa3d-bd465a10fb42,0.0,0b9uimOKjpFGhMFYbREb,1772675175.0,,
WebGLPlayer,55.1135178,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,1,1.0,100,100,1,2026-02-25 01:27:10.844000+00:00,c896b358-4b46-4219-9b4f-e9cd038beb70,0.0,0c6xE60xT1w2uEuP7W25,,,
WebGLPlayer,74.63034,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,2,1.0,100,100,1,2026-02-25 05:38:14.866000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,0.01208241,0qGHDT2gj3AQCIDdKBNE,,,
WebGLPlayer,104.594376,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,3,1.0,100,100,1,2026-02-25 01:50:27.835000+00:00,48d112f6-a109-4804-95d5-fd9956b1ade6,0.05983453,0uZcUeHkaO86FhKPHGic,,,
WebGLPlayer,195.003677,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,5,1.0,100,100,1,2026-02-26 04:11:16.262000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,0.008078219,1GbsWLhne3wPXqC3kAQ7,,,
WebGLPlayer,,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,1,1.2,9,7,2,,6890b777-81da-4a16-bd22-e1463f6d3701,,1frs55aNTT4rv8l9rSIC,1773264367.0,0.0,1.0
WebGLPlayer,32.37846,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0,1.0,100,100,1,2026-02-26 20:47:12.653000+00:00,576e8a75-8c91-465f-a6f2-5daa6f4306b0,0.0,1k21S3oHzIWFY7y9YmC6,,,
WebGLPlayer,22.6303425,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0,1.1,100,100,1,1772580351975,1586b5b5-47bd-4b4a-9cf7-fe14503313db,0.0,1wGRKm40BiMJLzfbhzmP,1772580351.0,,
WebGLPlayer,48.92898,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,2,1.0,100,100,1,2026-02-25 05:23:16.608000+00:00,7df36adf-44de-4187-9323-696cee2fb545,0.448466331,29kL44qoSeK3OAcMpjOB,,,
WebGLPlayer,534.115234,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,1.0,100,100,1,2026-02-25 05:49:00.645000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,0.015707735,2QPDkttMGmDKaQrUo9BJ,,,
WebGLPlayer,,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,3,1.2,100,100,1,,f8cd3c4e-f19f-4d31-b3fa-14917d17375a,,2o0L2eScsgiMiiP9iZom,1773461348.0,0.0,1.0
WebGLPlayer,19.0823135,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0,1.1,100,100,1,1772573572569,737f39a2-b399-45f4-89f5-41d45643264c,0.0,3JMPbdoREOJkhBS5E8Oy,1772573572.0,,
WebGLPlayer,21.2344971,https://bmanske505.github.io/Escape-The-Forest/,0,1.1,100,100,3,1772574603018,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,0.0,3VkQJq2RpFhySjxZGPGp,1772574603.0,,
WebGLPlayer,160.276672,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,6,1.0,100,100,1,2026-02-26 04:13:56.632000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,0.0313593373,3soFqDZXqkMigPgJILKd,,,
WebGLPlayer,35.72906,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0,1.0,100,100,1,2026-02-25 04:30:47.515000+00:00,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,0.0,3yeWO1CYLW0NOZAKx8bS,,,
WebGLPlayer,39.5007477,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,2,1.0,100,100,1,2026-02-26 06:47:24.903000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,0.0186993089,41OFJsHQ0LEjUZ1hZASq,,,
WebGLPlayer,6.185004,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0,1.0,100,100,1,2026-02-25 19:37:17.865000+00:00,d5b5b4bc-0911-4b4e-9bc3-66ebdc1c9bd0,0.0,4SPVC08bQOXzBDGsB1XR,,,
WebGLPlayer,15.9945173,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0,1.0,100,100,1,2026-02-25 05:35:00.818000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,0.0,4YHRBZNQZ7LfTdV9IELK,,,
WebGLPlayer,,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,0,1.2,100,100,1,,d71ee579-56ef-4668-8d24-9e7ca82c31f0,,4aKQ0Lrdw10ZCtZXqY50,1773459690.0,0.0,0.0
WebGLPlayer,139.800888,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,6,1.0,100,100,1,2026-02-25 05:53:23.970000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,0.117993906,4iKUXv0QSE6emyKfwGY3,,,
WebGLPlayer,144.989182,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,1.0,100,100,1,2026-02-25 05:42:14.379000+00:00,fb093188-7616-4e0f-8509-4279e51245ec,0.135494471,4npsFYdeHxvYmBroL5TJ,,,
WebGLPlayer,52.7166939,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0,1.1,100,100,1,1772574312877,3e570f88-d491-4348-bcae-97ec49934a2b,0.0,5WJR794GMSSeU2LxWYJi,1772574312.0,,
WebGLPlayer,23.4659233,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,5,1.0,100,100,1,2026-02-25 02:45:53.955000+00:00,98df4f7c-2f7d-4336-8e31-98e565231e8f,0.0475156456,5a64BrS2MK8VV4gDSxLV,,,
WebGLPlayer,0.0499999933,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,3,1.0,100,100,2,2026-02-25 04:12:36.320000+00:00,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,0.0254097972,5aUrffMzNF3Co7aRLsah,,,
WebGLPlayer,119.777534,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,4,1.0,100,100,1,2026-02-25 05:29:39.611000+00:00,7df36adf-44de-4187-9323-696cee2fb545,0.0511592925,5innI0HZYrkWpOjUgASb,,,
WebGLPlayer,,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,3,1.2,46,49,2,,ed1da240-bdee-4af5-b0aa-d97140d7d27d,,65o8RkRxS2KKFTH8xH31,1773274126.0,0.0,0.0
WebGLPlayer,148.239471,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,1,1.1,100,100,1,1772672626685,42993cc6-9738-4aac-ae31-6d6f44a79105,0.0,6BrbAGRDktx12bjDlE8P,1772672626.0,,
WebGLPlayer,62.35134,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0,1.1,5,5,1,1772549160044,1f510df4-b380-4bf3-9798-b3c6f23e8d37,0.0,6LpbmOGpXM15Xs7t0P8o,1772549160.0,,
WebGLPlayer,,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,0,1.2,23,23,2,,ed1da240-bdee-4af5-b0aa-d97140d7d27d,,6P1Ua3NoOFhNxJY7PqVg,1773258208.0,0.0,0.0
WebGLPlayer,185.99527,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,2,1.0,100,100,1,2026-02-26 02:16:39.099000+00:00,5559dbb6-6a01-4a3f-bb34-05607bbc4d07,0.0,6TMdtDnAMTHQrZ2wME7w,,,
WebGLPlayer,553.105347,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,4,1.0,100,100,1,2026-02-26 04:07:56.111000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,0.09934464,6bTjcIs4JjR0BbBeLYMW,,,
WebGLPlayer,0.0169999935,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,1,1.0,100,100,1,2026-02-25 01:26:16.002000+00:00,c896b358-4b46-4219-9b4f-e9cd038beb70,0.0,6gRuNkgxbjCnUntsjZbH,,,
WebGLPlayer,14.0740452,https://bmanske505.github.io/Escape-The-Forest/,0,1.0,100,100,2,2026-03-03 01:05:47.597000+00:00,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,0.0,6qgRhv1IMwzTXVirWkh2,,,
WebGLPlayer,25.6414852,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0,1.1,100,100,1,1772574251943,8728d281-fc44-4ac7-a69d-81e9103f303a,0.0,729Gs23mnn8ZnmBgM11c,1772574251.0,,
WebGLPlayer,,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,2,1.2,100,100,1,,26ca6f49-6baa-4ed5-8843-0aab2260422c,,7EQX9rf3qSK0L7GMmFG3,1773607579.0,0.3,1.0
WebGLPlayer,13.3213606,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0,1.1,100,100,1,1772581087217,abe7a704-a290-487d-bf25-e1a1be6e86ac,0.0,7UN8yEr5r2mC6QADPh2l,1772581087.0,,
