platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,timestamp,type
WebGLPlayer,0.0,7,1.2,9,3,1773513875.0,3,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,09zLEr9zO2LpcP81jsef,,
WebGLPlayer,,100,1.1,100,1,1772580753.0,1,,ca2cf188-edc4-488c-8bd4-2d6abc9c7df5,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0BfUgXXGBsx3qrRHWZ9h,1772580753579,Dog
WebGLPlayer,0.0,4,1.2,5,1,1773264207.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,0EbnE6DgIOClbEa5hrU7,,
WebGLPlayer,,100,1.1,100,1,1772649736.0,1,,e0387235-a3d5-4ddd-8fa6-bda81981cc26,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0SCWOKayheaDpc9x26O3,1772649736009,Dog
WebGLPlayer,,100,1.1,100,1,1772571900.0,1,,2d5ef946-9e9a-4018-b0d8-4d3f20014078,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,0g9nUUZNxxdL6TqA2Gfp,1772571900174,Dog
WebGLPlayer,,100,1.0,100,4,,1,,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,10Uvynj7hlhhHnnStEN6,2026-02-26 07:01:02.142000+00:00,
WebGLPlayer,,100,1.0,100,6,,1,,fb093188-7616-4e0f-8509-4279e51245ec,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,17TrCTVi45Yf4hFaeAVm,2026-02-25 05:49:23.691000+00:00,
WebGLPlayer,,8,1.1,7,3,1772511550.0,1,,de227f93-8632-4b43-89db-9eb7dfc925de,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,19GkdqsBhwbOrrezyX0J,1772511550303,Dog
WebGLPlayer,,100,1.0,100,4,,1,,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,1U1jXho9PPU2ebqMN4YG,2026-02-26 07:10:18.618000+00:00,
WebGLPlayer,,6,1.1,8,1,1772587418.0,2,,c727dee3-8d07-4537-b118-906a91092bef,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,1VweO0WJwfshMkcWSErS,1772587418155,Dog
WebGLPlayer,,100,1.1,100,1,1772649813.0,1,,e0387235-a3d5-4ddd-8fa6-bda81981cc26,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,1mEbc1pWKOkvdnwNhyGM,1772649813136,Dog
WebGLPlayer,,100,1.0,100,4,,1,,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,28BNJqqseuCFBEnn7OoX,2026-02-25 04:52:42.347000+00:00,
WebGLPlayer,,25,1.1,25,2,1772745150.0,2,,0e885dc1-c373-4942-af80-d5caac9c4d5d,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,28frVvskgq7OEJKN0wbn,1772745150912,Dog
WebGLPlayer,,100,1.1,100,3,1772574686.0,1,,3fa752ab-40eb-4e77-aca7-ce8162fd64e6,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,2UCjuy6yvXPbdeejnuBO,1772574686427,Dog
WebGLPlayer,,100,1.1,100,1,1772513043.0,3,,500a76fa-e9a2-41da-b1cb-fcab68ab3b31,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,2wRbtgnfm9QIO3pc598K,1772513043312,Dog
WebGLPlayer,,100,1.0,100,4,,2,,d9490c57-0d14-4cf4-a6d5-6ac9f005e219,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,2y8rr7uelO8bGguDFV3I,2026-02-25 05:04:08.222000+00:00,
WebGLPlayer,,100,1.1,100,1,1772672578.0,1,,42993cc6-9738-4aac-ae31-6d6f44a79105,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,2yNHvw0dqgULTwlczYIg,1772672578998,Dog
WebGLPlayer,0.0,49,1.2,46,3,1773273318.0,2,0.0,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,33BoDRnqM401vsiYhfSC,,
WebGLPlayer,,5,1.1,5,1,1772549178.0,1,,1f510df4-b380-4bf3-9798-b3c6f23e8d37,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,33XXMPG4lXPM0yHUrKkN,1772549178403,Dog
WebGLPlayer,0.0,100,1.2,100,3,1773333963.0,1,1.0,9499e297-7432-4864-933c-088679dad8ff,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,34zsWXNJYSun2RHOauxD,,
