platform,music,sensitivity_x,version,sensitivity_y,level,unix_time,playthrough,ab_group,userId,domain,_doc_id,time_spent,timestamp
WebGLPlayer,0.0,100,1.2,100,4.0,1773358548.0,1,0.0,918a5f2b-58b5-49b5-8927-3576999fb2f9,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,0A3eypHicYbJSMasj0T5,,
WebGLPlayer,0.0,100,1.2,100,6.0,1773610555.0,1,1.0,d9ff913c-bfc2-467c-9042-9862e7cb4339,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,0HsT2P3Vr1HzGvCzPXZB,,
WebGLPlayer,,100,1.0,100,,,1,,48d112f6-a109-4804-95d5-fd9956b1ade6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,0URP179NEnJXpo1PssZq,1.39999986,2026-02-25 01:55:06.963000+00:00
WebGLPlayer,,54,1.0,47,,,1,,12ea51bf-5b57-4891-a08f-a0a9cb036581,https://bmanske505.github.io/Escape-The-Forest/,1XE9C8zSstobsh2egUy2,42.019,2026-02-26 02:16:21.025000+00:00
WebGLPlayer,,100,1.1,100,3.0,1772672916.0,1,,42993cc6-9738-4aac-ae31-6d6f44a79105,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,1ZtKxwm3d5kTOmFICnSu,11.4419947,1772672916639
WebGLPlayer,,100,1.0,100,,,1,,7df36adf-44de-4187-9323-696cee2fb545,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,1e2B7nKLQEJPwxc3n4G6,13.6610222,2026-02-25 05:22:57.878000+00:00
WebGLPlayer,,5,1.1,5,4.0,1772549973.0,1,,1f510df4-b380-4bf3-9798-b3c6f23e8d37,https://html-classic.itch.zone/html/16537285-1546101/index.html?v=1772508675,1fpjslQqHbuRxfFFttNj,74.52702,1772549973057
WebGLPlayer,0.0,7,1.2,9,4.0,1773265284.0,2,1.0,6890b777-81da-4a16-bd22-e1463f6d3701,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,2HSxWTOQpuTF2ThT92Qg,,
WebGLPlayer,0.0,49,1.2,46,3.0,1773273473.0,2,0.0,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,2TPhKp3MHUhyZTGbYY1q,,
WebGLPlayer,,54,1.0,47,,,1,,12ea51bf-5b57-4891-a08f-a0a9cb036581,https://bmanske505.github.io/Escape-The-Forest/,2wdFdYTyRE265kTg4eWD,90.55806,2026-02-26 02:07:46.995000+00:00
