platform,level,cause,sensitivity_y,sensitivity_x,version,playthrough,timestamp,userId,domain,_doc_id,music,unix_time,ab_group
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-26 07:12:46.121000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,01xtKrguHR9RxIhIoFr3,,,
WebGLPlayer,1,trigger,100,100,1.0,1,2026-02-28 00:15:53.193000+00:00,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,https://bmanske505.github.io/Escape-The-Forest/,0B3z7L01GbzalFzY0xHJ,,,
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-26 07:04:26.266000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,0SYlPwUFo5opgD1hyNBZ,,,
WebGLPlayer,4,trigger,100,100,1.0,1,2026-02-25 02:44:17.185000+00:00,98df4f7c-2f7d-4336-8e31-98e565231e8f,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,19B1K6dEJpddBZaFuGkn,,,
WebGLPlayer,6,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,1BQ2s95qjCtsmJjmOWiC,0.0,1773258090.0,1.0
WebGLPlayer,3,,46,49,1.2,2,,ed1da240-bdee-4af5-b0aa-d97140d7d27d,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,1DTuS0ittVkcoyx5kAO4,0.0,1773273182.0,0.0
WebGLPlayer,3,trigger,100,100,1.0,1,2026-02-28 00:19:22.827000+00:00,4ba415ef-8d1a-4f0c-9d99-af4c6cbb28d9,https://bmanske505.github.io/Escape-The-Forest/,1VfMoo2LPqMLolGvBVWS,,,
WebGLPlayer,2,trigger,100,100,1.0,1,2026-02-26 20:46:58.081000+00:00,140c3497-a723-4a52-8bb9-582edf7fd8b9,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,1fAryzyd7mvL9AjJJV2S,,,
WebGLPlayer,1,trigger,100,100,1.0,1,2026-02-25 01:26:40.066000+00:00,c896b358-4b46-4219-9b4f-e9cd038beb70,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,1r1f2hUHtwu39nZukfFm,,,
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-25 05:42:23.490000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,1rhY2UJPKovXMm27rGaT,,,
WebGLPlayer,4,abandoned,100,100,1.0,1,2026-02-25 01:52:01.692000+00:00,48d112f6-a109-4804-95d5-fd9956b1ade6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,2EkTLdJ0ANiyzzCVNpOX,,,
WebGLPlayer,3,trigger,100,100,1.0,1,2026-02-25 04:45:29.672000+00:00,70b5ddbc-6a25-4fe0-b987-a1478fb55fe6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,2ctBhZU884063ZSJOwJ7,,,
WebGLPlayer,5,trigger,100,100,1.0,1,2026-02-25 05:49:36.398000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,2iM0g5R0mGXlwtzP5jrZ,,,
WebGLPlayer,3,,100,100,1.2,1,,9499e297-7432-4864-933c-088679dad8ff,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,31pFJeQylYQw4I8fySjg,0.0,1773333980.0,1.0
WebGLPlayer,3,trigger,100,100,1.0,1,2026-02-26 03:40:26.012000+00:00,2b5f5563-355f-4ed4-be41-a21cfbb88aea,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,36QR37GKKhspa0AQ6QNJ,,,
WebGLPlayer,2,trigger,100,100,1.0,1,2026-02-25 05:35:39.533000+00:00,10399faa-8e46-46d7-95ef-6e50cb706ee6,https://html-classic.itch.zone/html/16537285-1538396/index.html?v=1771980144,39i4tbndaJLx3eG7y4bW,,,
WebGLPlayer,4,,100,100,1.2,1,,d0fcd681-1078-40f5-9599-5084f7b318ae,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,3dbqVdra3oNjXzeyuq5x,0.0,1773604605.0,1.0
WebGLPlayer,6,,14,17,1.2,2,,24bbaba8-dc51-4a09-b007-88a9522667a4,https://html-classic.itch.zone/html/16537285-1556842/WebGL/index.html?v=1773204363,3xM8CsKcEPsDEhU4Fukr,0.0,1773257933.0,1.0
WebGLPlayer,4,trigger,100,100,1.0,1,2026-02-26 07:05:52.799000+00:00,05c9809b-f15b-4a30-af0c-d20d66f6c816,https://html-classic.itch.zone/html/16537285-1539301/index.html?v=1772048211,4SEZ4PxPr4Z5chWv7ilW,,,
